TABLE_NAME,LOCATION_FOUND,DDL_DEFINITION
TD_DATA_LOAD,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TD_DATA_LOAD""","create or replace TRANSIENT TABLE TD_DATA_LOAD (
	NR_MIN_TIME_WEEK_KEY NUMBER(10,0),
	NR_TIME_WEEK_KEY NUMBER(10,0),
	NR_TIME_MTH_KEY NUMBER(10,0),
	NR_FULL_TIME_MTH_KEY NUMBER(10,0),
	RX_MIN_TIME_SWEEK_KEY NUMBER(10,0),
	RX_TIME_SWEEK_KEY NUMBER(10,0),
	RX_TIME_MTH_KEY NUMBER(10,0),
	RX_FULL_TIME_MTH_KEY NUMBER(10,0),
	LAAD_CLAIM_TIME_START_DT_KEY NUMBER(10,0),
	LAAD_CLAIM_START_MTH_KEY NUMBER(10,0),
	LAAD_CLAIM_TIME_END_DT_KEY NUMBER(10,0),
	LAAD_CLAIM_TIME_END_MTH_KEY NUMBER(10,0),
	LAAD_CLAIM_TIME_DT_KEY NUMBER(10,0),
	INT_SALES_TIME_DT_KEY NUMBER(10,0),
	INT_SALES_FULL_TIME_WEEK_KEY NUMBER(10,0),
	INT_SALES_FULL_TIME_MTH_KEY NUMBER(10,0),
	INV_DISP_SALES_TIME_DT_KEY NUMBER(10,0),
	INT_SALES_ACTG_TIME_DT_KEY NUMBER(10,0),
	INT_SALES_ACTG_FULL_TIME_WEEK_KEY NUMBER(10,0),
	INT_SALES_ACTG_FULL_TIME_MTH_KEY NUMBER(10,0),
	INV_INV_TIME_DT_KEY NUMBER(10,0),
	SD_SALES_TIME_DT_KEY NUMBER(10,0),
	PREV_SF_ALN_KEY VARCHAR(32),
	CURR_SF_ALN_KEY VARCHAR(32),
	NEW_SF_ALN_KEY VARCHAR(32),
	PREV_IC_SF_ALN_KEY VARCHAR(32),
	CURR_IC_SF_ALN_KEY VARCHAR(32),
	NEW_IC_SF_ALN_KEY VARCHAR(32),
	PAIN_BU_BUDGET_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_BU_CURR_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_BU_PRIOR_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_BU_WORK_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_HYP_ACTUAL_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_HYP_BUDGET_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_HYP_CURR_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_HYP_PRIOR_FORECAST_VERSION_KEY VARCHAR(32),
	PAIN_HYP_WORK_FORECAST_VERSION_KEY VARCHAR(32),
	PROD_SUMM_REPORT_TIME_DT_KEY NUMBER(10,0),
	PROD_SUMM_FULL_TIME_MTH_KEY NUMBER(10,0),
	LOAD_START_DATE NUMBER(10,0)
);"
TD_GEO_LOC,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TD_GEO_LOC""","create or replace TRANSIENT TABLE TD_GEO_LOC (
	GEO_LOC_KEY VARCHAR(32),
	LOC_ADDR_LINE_1 VARCHAR(16777216),
	LOC_ADDR_LINE_2 VARCHAR(16777216),
	LOC_ADDR_LINE_3 VARCHAR(16777216),
	LOC_ADDR_LINE_4 VARCHAR(16777216),
	GEO_CITY_KEY VARCHAR(32),
	GEO_CITY_NAME VARCHAR(16777216),
	GEO_STATE_KEY NUMBER(38,0),
	GEO_STATE_CD VARCHAR(16777216),
	GEO_STATE_NAME VARCHAR(16777216),
	GEO_POSTAL_KEY VARCHAR(32),
	GEO_POSTAL_CD VARCHAR(16777216),
	GEO_POSTAL_CD_EXT VARCHAR(16777216),
	GEO_COUNTRY_KEY NUMBER(38,0),
	GEO_COUNTRY_CD VARCHAR(16777216),
	GEO_COUNTRY_NAME VARCHAR(16777216),
	GEO_LATITUDE NUMBER(11,8),
	GEO_LONGITUDE NUMBER(11,8)
);"
TD_HCP,"""DEV_P_PAIN_SALES_PERFORMANCE_ANALYTICS_DB"".""DBT_ASINHA_REPORTING_LOAD"".""TD_HCP""","create or replace TRANSIENT TABLE TD_HCP (
	HCP_KEY VARCHAR(32),
	HCP_FIRST_NAME VARCHAR(16777216),
	HCP_MID_NAME VARCHAR(16777216),
	HCP_LAST_NAME VARCHAR(16777216),
	HCP_SUFFIX VARCHAR(16777216),
	HCP_TITLE VARCHAR(16777216),
	HCP_DEGREE VARCHAR(16777216),
	HCP_GENDER VARCHAR(255),
	HCP_BIRTH_DT DATE,
	HCP_GRAD_YR VARCHAR(16777216),
	HCP_PHONE_HOME_P VARCHAR(16777216),
	HCP_PHONE_WORK_P VARCHAR(16777216),
	HCP_PHONE_MOBILE_P VARCHAR(16777216),
	HCP_STATUS_KEY NUMBER(38,0),
	HCP_SUBTYPE_KEY NUMBER(38,0),
	HCP_ME_NUM VARCHAR(16777216),
	HCP_PDRP_OPTOUT_IND VARCHAR(16777216),
	HCP_PDRP_OPTOUT_DT DATE,
	KOL_IND VARCHAR(16777216),
	AMA_NO_CONTACT VARCHAR(1),
	NO_SEE_IND VARCHAR(16777216),
	SAMPLEABILITY_IND VARCHAR(16777216),
	SAMPLEABILITY_DT DATE,
	EMAIL_ADDR_P VARCHAR(16777216),
	EMAIL_ADDR_S VARCHAR(16777216),
	EMAIL_ADDR_T VARCHAR(16777216),
	HCP_P_HIN VARCHAR(16777216),
	HCP_S_HIN VARCHAR(16777216),
	HCP_T_HIN VARCHAR(16777216),
	HCP_P_MA_ID VARCHAR(16777216),
	HCP_S_MA_ID VARCHAR(16777216),
	HCP_T_MA_ID VARCHAR(16777216),
	HCP_P_NPI_NUM VARCHAR(16777216),
	HCP_S_NPI_NUM VARCHAR(16777216),
	HCP_T_NPI_NUM VARCHAR(16777216),
	HCP_P_DEA_NUM VARCHAR(16777216),
	HCP_P_DEA_LIC_STATUS_CD VARCHAR(16777216),
